"",,,,,,Grupos de edad,,,,,,
Estado,,,,,,,,,,,,Incidencia*
"",< 1,1 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 44,45 - 49,50 - 59,60 - 64,65 y +,
Aguascalientes,N.A.,N.A.,N.A.,0.00,0.00,1.58,18.43,53.88,82.15,141.62,76.15,31.58
Baja California,N.A.,N.A.,N.A.,0.00,0.00,0.00,15.41,65.20,95.42,113.06,78.54,32.59
Baja California Sur,N.A.,N.A.,N.A.,0.00,0.00,3.09,15.87,33.44,47.63,75.16,29.81,19.58
Campeche,N.A.,N.A.,N.A.,0.00,0.00,6.99,30.75,90.27,114.15,144.78,144.58,49.05
Coahuila,N.A.,N.A.,N.A.,0.00,1.49,0.77,16.98,40.13,66.81,72.63,37.38,23.92
Colima,N.A.,N.A.,N.A.,0.00,0.00,6.10,35.38,147.46,198.56,239.11,228.71,78.44
Chiapas,N.A.,N.A.,N.A.,0.00,0.37,0.39,2.94,15.66,15.94,18.46,11.42,5.26
Chihuahua,N.A.,N.A.,N.A.,0.00,1.83,6.28,32.61,99.53,97.82,135.75,108.65,47.21
Ciudad de México,N.A.,N.A.,N.A.,1.00,1.23,2.54,18.05,83.09,85.80,117.34,89.77,44.07
Durango,N.A.,N.A.,N.A.,0.00,1.21,0.00,17.59,101.07,128.90,123.56,125.24,44.98
Guanajuato,N.A.,N.A.,N.A.,1.07,0.36,1.45,8.15,18.36,24.50,32.47,24.51,10.73
Guerrero,N.A.,N.A.,N.A.,0.00,0.00,0.61,3.27,11.77,28.62,25.05,21.85,8.36
Hidalgo,N.A.,N.A.,N.A.,0.00,0.00,0.00,6.67,18.47,23.94,24.94,17.71,9.44
Jalisco,N.A.,N.A.,N.A.,0.00,1.93,5.88,22.39,63.07,72.50,120.55,73.44,33.76
México,N.A.,N.A.,N.A.,0.28,0.41,0.27,7.07,27.00,27.43,37.08,29.27,12.30
Michoacán,N.A.,N.A.,N.A.,0.00,0.00,0.48,13.89,38.02,47.05,48.61,38.37,18.80
Morelos,N.A.,N.A.,N.A.,1.20,0.00,25.54,21.79,120.48,120.18,655.77,206.79,86.67
Nayarit,N.A.,N.A.,N.A.,0.00,0.00,1.91,23.49,80.06,66.88,80.59,90.39,34.11
Nuevo León,N.A.,N.A.,N.A.,0.44,3.92,1.30,11.78,65.24,63.54,81.06,55.77,26.21
Oaxaca,N.A.,N.A.,N.A.,1.03,0.54,1.68,19.73,80.79,62.60,86.66,43.75,28.40
Puebla,N.A.,N.A.,N.A.,0.66,1.66,2.05,8.58,55.22,42.58,44.45,18.37,15.73
Querétaro,N.A.,N.A.,N.A.,0.00,0.00,0.00,29.33,60.29,88.71,95.92,88.71,36.06
Quintana Roo,N.A.,N.A.,N.A.,0.00,1.39,0.00,11.67,70.88,54.55,45.96,49.00,20.01
San Luis Potosí,N.A.,N.A.,N.A.,0.00,0.00,2.43,4.53,32.21,41.64,49.05,23.28,13.43
Sinaloa,N.A.,N.A.,N.A.,0.00,0.74,1.51,26.25,81.59,96.38,127.00,98.47,42.85
Sonora,N.A.,N.A.,N.A.,0.00,1.54,0.00,7.77,34.28,37.86,55.64,35.48,15.89
Tabasco,N.A.,N.A.,N.A.,0.00,0.00,1.84,6.01,24.42,33.41,38.98,30.23,11.93
Tamaulipas,N.A.,N.A.,N.A.,1.93,1.33,0.69,18.12,59.23,87.96,105.18,80.79,34.90
Tlaxcala,N.A.,N.A.,N.A.,0.00,3.29,0.00,15.59,33.03,93.32,88.22,104.32,31.49
Veracruz,N.A.,N.A.,N.A.,0.00,0.28,2.00,13.04,45.48,52.57,60.69,53.96,23.57
Yucatán,N.A.,N.A.,N.A.,0.00,0.00,1.03,14.17,68.75,75.33,98.36,70.49,30.46
Zacatecas,N.A.,N.A.,N.A.,0.00,2.75,0.00,12.98,45.03,41.46,64.39,54.20,20.79
TOTAL GLOBAL,N.A.,N.A.,N.A.,0.31,0.88,2.00,13.77,51.93,58.84,84.41,57.91,25.27
