"",,,,,,Grupos de edad,,,,,,
Estado,,,,,,,,,,,,Incidencia*
"",< 1,1 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 44,45 - 49,50 - 59,60 - 64,65 y +,
Aguascalientes,N.A.,N.A.,N.A.,0.00,0.00,3.38,39.13,96.22,124.04,118.66,132.23,48.38
Baja California,N.A.,N.A.,N.A.,0.00,0.00,0.65,9.19,29.96,41.45,37.17,40.41,14.26
Baja California Sur,N.A.,N.A.,N.A.,0.00,0.00,3.07,15.12,9.43,23.08,51.13,11.08,11.81
Campeche,N.A.,N.A.,N.A.,2.53,0.00,2.40,50.81,243.18,272.20,280.41,202.53,91.75
Coahuila,N.A.,N.A.,N.A.,0.75,0.75,0.79,19.68,65.15,83.62,98.27,60.90,30.49
Colima,N.A.,N.A.,N.A.,0.00,0.00,9.40,36.25,194.82,202.90,220.61,178.38,74.71
Chiapas,N.A.,N.A.,N.A.,0.00,0.00,1.57,8.24,24.70,25.59,32.57,23.03,9.53
Chihuahua,N.A.,N.A.,N.A.,0.00,0.60,1.90,16.45,42.39,85.71,97.75,47.86,26.84
Distrito Federal,N.A.,N.A.,N.A.,0.00,0.88,1.38,16.46,47.31,77.01,68.08,54.85,30.48
Durango,N.A.,N.A.,N.A.,0.00,0.00,1.27,14.27,85.22,83.39,107.90,83.08,31.19
Guanajuato,N.A.,N.A.,N.A.,0.00,0.69,4.01,9.41,65.17,55.71,61.50,48.56,20.24
Guerrero,N.A.,N.A.,N.A.,0.00,1.60,1.17,5.45,14.06,15.03,20.56,13.25,6.54
Hidalgo,N.A.,N.A.,N.A.,0.00,0.00,1.57,10.66,21.97,37.26,54.27,25.37,14.02
Jalisco,N.A.,N.A.,N.A.,0.00,0.28,1.42,23.14,86.29,71.28,113.16,54.67,31.73
México,N.A.,N.A.,N.A.,0.00,0.00,0.27,4.84,21.95,18.46,31.52,22.43,8.46
Michoacán,N.A.,N.A.,N.A.,0.00,0.00,0.93,13.91,62.19,51.53,49.15,47.29,20.99
Morelos,N.A.,N.A.,N.A.,0.00,1.17,2.32,6.79,23.41,28.52,32.78,25.99,11.66
Nayarit,N.A.,N.A.,N.A.,0.00,3.70,0.00,4.44,11.96,21.00,20.87,13.41,7.12
Nuevo León,N.A.,N.A.,N.A.,0.00,0.00,1.44,9.75,46.79,62.49,90.24,36.68,21.77
Oaxaca,N.A.,N.A.,N.A.,0.00,0.50,0.00,5.72,23.64,28.92,16.66,15.65,8.83
Puebla,N.A.,N.A.,N.A.,0.00,0.00,5.17,10.12,72.31,57.27,61.01,74.86,23.77
Querétaro,N.A.,N.A.,N.A.,0.00,1.07,0.00,15.30,65.85,64.82,75.14,58.96,24.05
Quintana Roo,N.A.,N.A.,N.A.,0.00,0.00,2.76,9.56,40.02,60.56,87.54,67.30,17.91
San Luis Potosí,N.A.,N.A.,N.A.,0.00,0.00,4.03,29.18,85.03,133.80,100.21,84.33,42.47
Sinaloa,N.A.,N.A.,N.A.,0.00,1.47,0.00,23.26,83.37,86.92,75.38,57.56,32.66
Sonora,N.A.,N.A.,N.A.,0.00,0.00,0.00,8.14,37.61,33.24,55.64,27.60,14.07
Tabasco,N.A.,N.A.,N.A.,0.00,0.00,0.00,5.81,24.63,26.61,17.95,19.01,8.67
Tamaulipas,N.A.,N.A.,N.A.,0.00,0.65,2.69,11.94,39.98,44.21,42.44,41.21,18.05
Tlaxcala,N.A.,N.A.,N.A.,0.00,0.00,0.00,6.55,16.27,22.19,44.43,24.14,9.27
Veracruz,N.A.,N.A.,N.A.,0.56,0.27,5.35,38.21,103.95,113.34,139.61,82.70,49.08
Yucatán,N.A.,N.A.,N.A.,0.00,0.00,4.21,19.03,49.62,61.34,74.82,55.47,25.80
Zacatecas,N.A.,N.A.,N.A.,0.00,1.33,1.41,9.83,13.36,32.58,46.34,19.32,11.62
TOTAL GLOBAL,N.A.,N.A.,N.A.,0.07,0.38,1.88,14.30,51.98,58.88,68.47,48.04,22.56
