"",,,,,,Grupos de edad,,,,,,
Estado,,,,,,,,,,,,Incidencia*
"",< 1,1 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 44,45 - 49,50 - 59,60 - 64,65 y +,
Aguascalientes,N.A.,N.A.,N.A.,0.00,3.23,1.65,17.30,80.56,82.82,70.40,75.68,30.66
Baja California,N.A.,N.A.,N.A.,0.00,0.64,3.11,25.02,71.81,112.67,125.54,92.06,40.11
Baja California Sur,N.A.,N.A.,N.A.,2.83,2.91,0.00,16.13,24.48,56.55,16.88,41.56,18.28
Campeche,N.A.,N.A.,N.A.,0.00,0.00,0.00,7.29,31.32,72.04,85.46,38.81,19.46
Coahuila,N.A.,N.A.,N.A.,0.00,0.00,0.77,18.82,85.94,89.43,145.11,80.76,37.36
Colima,N.A.,N.A.,N.A.,0.00,0.00,0.00,40.19,113.91,190.15,190.87,219.39,73.26
Chiapas,N.A.,N.A.,N.A.,0.00,0.36,0.00,3.95,12.55,19.56,10.99,10.30,5.25
Chihuahua,N.A.,N.A.,N.A.,0.59,1.81,8.67,27.08,93.74,94.59,142.43,101.04,44.48
Ciudad de México,N.A.,N.A.,N.A.,0.00,0.00,1.74,13.20,54.78,62.85,89.06,78.00,32.79
Durango,N.A.,N.A.,N.A.,0.00,0.00,4.94,15.30,65.76,98.09,128.61,55.16,31.95
Guanajuato,N.A.,N.A.,N.A.,0.00,0.36,0.36,4.56,26.98,26.25,26.77,17.41,9.06
Guerrero,N.A.,N.A.,N.A.,0.00,0.55,0.00,2.90,12.23,21.63,40.66,13.77,7.00
Hidalgo,N.A.,N.A.,N.A.,0.00,0.00,2.34,9.18,41.11,37.68,60.87,34.14,16.72
Jalisco,N.A.,N.A.,N.A.,0.00,1.41,1.41,17.21,53.37,61.69,85.98,58.94,26.56
México,N.A.,N.A.,N.A.,0.40,0.00,0.67,5.48,23.84,27.24,40.69,30.20,11.46
Michoacán,N.A.,N.A.,N.A.,0.00,0.94,0.94,12.05,44.93,46.27,39.32,31.92,17.51
Morelos,N.A.,N.A.,N.A.,0.00,0.00,11.59,16.70,105.93,72.50,156.99,83.42,39.43
Nayarit,N.A.,N.A.,N.A.,0.00,0.00,1.85,22.47,88.70,86.96,115.74,74.70,36.13
Nuevo León,N.A.,N.A.,N.A.,0.46,2.30,4.65,14.75,57.23,56.26,83.97,48.45,25.86
Oaxaca,N.A.,N.A.,N.A.,0.00,0.00,2.13,16.36,56.29,64.16,73.38,50.24,24.98
Puebla,N.A.,N.A.,N.A.,0.00,0.33,1.02,4.98,15.30,19.44,17.77,12.98,7.06
Querétaro,N.A.,N.A.,N.A.,0.00,1.07,3.19,23.24,96.98,113.67,137.75,94.05,41.45
Quintana Roo,N.A.,N.A.,N.A.,0.00,0.00,2.68,6.33,26.08,59.08,35.42,51.47,14.35
San Luis Potosí,N.A.,N.A.,N.A.,0.00,0.00,0.80,8.42,40.24,37.63,47.79,40.84,16.07
Sinaloa,N.A.,N.A.,N.A.,0.00,0.74,5.34,22.64,63.64,104.62,128.44,84.77,39.78
Sonora,N.A.,N.A.,N.A.,0.75,0.77,5.52,7.89,38.85,52.98,48.27,40.59,18.59
Tabasco,N.A.,N.A.,N.A.,0.00,0.00,0.00,8.71,26.42,35.31,53.89,19.41,12.73
Tamaulipas,N.A.,N.A.,N.A.,0.00,0.00,1.97,11.03,59.40,69.62,90.02,48.99,26.02
Tlaxcala,N.A.,N.A.,N.A.,0.00,0.00,1.68,7.25,24.59,23.01,52.58,19.76,10.79
Veracruz,N.A.,N.A.,N.A.,0.00,0.00,0.56,13.22,41.29,54.44,74.35,58.60,24.03
Yucatán,N.A.,N.A.,N.A.,0.00,0.00,1.06,13.21,49.57,71.02,98.47,66.41,27.54
Zacatecas,N.A.,N.A.,N.A.,0.00,0.00,0.00,12.02,49.69,29.48,56.65,30.21,16.25
TOTAL GLOBAL,N.A.,N.A.,N.A.,0.13,0.47,1.88,11.96,45.99,54.23,71.77,50.25,21.99
