"",,,,,,Grupos de edad,,,,,,
Estado,,,,,,,,,,,,Incidencia*
"",< 1,1 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 44,45 - 49,50 - 59,60 - 64,65 y +,
Aguascalientes,N.A.,N.A.,N.A.,0.00,0.00,1.57,30.24,118.77,157.10,164.18,91.61,51.92
Baja California,N.A.,N.A.,N.A.,0.00,0.66,1.94,27.48,112.02,117.30,118.83,128.88,48.43
Baja California Sur,N.A.,N.A.,N.A.,0.00,0.00,3.06,18.05,56.56,67.09,71.03,56.59,26.63
Campeche,N.A.,N.A.,N.A.,0.00,0.00,2.33,19.26,53.94,88.88,108.22,61.86,31.01
Coahuila,N.A.,N.A.,N.A.,0.00,0.00,0.00,15.97,54.94,63.47,86.78,51.96,26.32
Colima,N.A.,N.A.,N.A.,0.00,3.12,0.00,66.40,131.23,226.04,492.58,322.17,112.36
Chiapas,N.A.,N.A.,N.A.,0.00,0.37,0.00,9.74,29.71,34.75,45.36,28.08,12.70
Chihuahua,N.A.,N.A.,N.A.,0.00,1.21,6.89,28.41,96.98,105.24,134.09,130.02,48.90
Ciudad de México,N.A.,N.A.,N.A.,0.34,0.63,2.31,27.17,96.69,94.61,117.94,77.39,48.60
Durango,N.A.,N.A.,N.A.,0.00,0.00,0.00,22.22,100.90,129.96,176.54,123.78,49.32
Guanajuato,N.A.,N.A.,N.A.,0.00,1.08,1.09,7.13,24.79,18.35,25.50,18.00,9.33
Guerrero,N.A.,N.A.,N.A.,0.00,0.00,1.23,4.38,12.56,11.14,22.79,12.30,5.94
Hidalgo,N.A.,N.A.,N.A.,0.00,0.00,0.79,5.97,24.06,27.63,25.63,25.67,11.05
Jalisco,N.A.,N.A.,N.A.,0.00,1.38,1.12,19.69,71.38,64.36,97.71,61.51,30.18
México,N.A.,N.A.,N.A.,0.00,0.14,1.23,7.01,28.25,28.40,40.84,32.29,13.16
Michoacán,N.A.,N.A.,N.A.,0.45,0.00,0.48,12.37,44.42,59.93,79.13,46.27,22.55
Morelos,N.A.,N.A.,N.A.,0.00,0.00,4.67,40.26,19.69,13.74,1493.68,309.54,122.81
Nayarit,N.A.,N.A.,N.A.,0.00,1.86,1.91,25.86,78.00,106.28,159.40,99.62,44.10
Nuevo León,N.A.,N.A.,N.A.,0.44,2.17,3.87,8.80,44.53,50.68,106.62,58.16,23.69
Oaxaca,N.A.,N.A.,N.A.,0.00,0.53,1.13,29.04,115.39,98.61,142.63,79.33,44.63
Puebla,N.A.,N.A.,N.A.,0.66,5.97,6.85,16.37,47.41,36.06,22.24,17.82,17.42
Querétaro,N.A.,N.A.,N.A.,0.00,0.00,0.00,28.50,105.09,111.38,109.67,100.45,43.68
Quintana Roo,N.A.,N.A.,N.A.,0.00,1.38,1.31,16.76,64.14,77.73,77.17,53.62,25.89
San Luis Potosí,N.A.,N.A.,N.A.,0.00,1.56,0.00,11.58,47.45,64.41,79.36,40.48,22.87
Sinaloa,N.A.,N.A.,N.A.,0.00,1.48,3.78,15.84,31.06,47.61,40.74,32.14,19.47
Sonora,N.A.,N.A.,N.A.,0.00,0.00,1.56,8.77,27.22,36.24,44.73,32.20,14.77
Tabasco,N.A.,N.A.,N.A.,0.00,0.00,3.70,10.67,44.88,46.37,58.34,32.42,18.06
Tamaulipas,N.A.,N.A.,N.A.,0.00,2.64,1.37,16.60,58.15,94.29,95.02,101.34,37.26
Tlaxcala,N.A.,N.A.,N.A.,0.00,0.00,0.00,5.61,22.98,35.50,58.79,44.26,14.13
Veracruz,N.A.,N.A.,N.A.,0.00,0.28,1.15,15.87,54.11,60.81,73.19,61.07,27.84
Yucatán,N.A.,N.A.,N.A.,0.00,0.00,1.03,17.40,47.46,95.06,94.62,89.18,34.51
Zacatecas,N.A.,N.A.,N.A.,1.31,0.00,0.00,14.97,54.28,66.89,79.28,27.87,23.20
TOTAL GLOBAL,N.A.,N.A.,N.A.,0.11,0.94,1.86,16.08,55.37,61.11,104.50,61.76,28.21
